"filename", "language", "JavaScript", "XML", "CSS", "Markdown", "JSON", "Groovy", "HTML", "comment", "blank", "total"
"c:\Users\User\Desktop\work\youwho.club\Jenkinsfile", "Groovy", 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\User\Desktop\work\youwho.club\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\User\Desktop\work\youwho.club\package-lock.json", "JSON", 0, 0, 0, 0, 34018, 0, 0, 0, 1, 34019
"c:\Users\User\Desktop\work\youwho.club\package.json", "JSON", 0, 0, 0, 0, 69, 0, 0, 0, 1, 70
"c:\Users\User\Desktop\work\youwho.club\public\Y-HUG-COIN.svg", "XML", 0, 76, 0, 0, 0, 0, 0, 0, 2, 78
"c:\Users\User\Desktop\work\youwho.club\public\YouwhoHugCoin.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 32, 25, 6, 63
"c:\Users\User\Desktop\work\youwho.club\public\introGroup.svg", "XML", 0, 104, 0, 0, 0, 0, 0, 0, 2, 106
"c:\Users\User\Desktop\work\youwho.club\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\User\Desktop\work\youwho.club\public\p-outline-animated.svg", "XML", 0, 225, 0, 0, 0, 0, 0, 1, 2, 228
"c:\Users\User\Desktop\work\youwho.club\public\p-outline.svg", "XML", 0, 62, 0, 0, 0, 0, 0, 154, 4, 220
"c:\Users\User\Desktop\work\youwho.club\public\w-outline-animated.svg", "XML", 0, 187, 0, 0, 0, 0, 0, 5, 1, 193
"c:\Users\User\Desktop\work\youwho.club\public\w-outline.svg", "XML", 0, 70, 0, 0, 0, 0, 0, 72, 1, 143
"c:\Users\User\Desktop\work\youwho.club\public\w-typography.svg", "XML", 0, 89, 0, 0, 0, 0, 0, 0, 1, 90
"c:\Users\User\Desktop\work\youwho.club\public\youwho-hugcoin copy.svg", "XML", 0, 194, 0, 0, 0, 0, 0, 1, 1, 196
"c:\Users\User\Desktop\work\youwho.club\public\youwho-hugcoin.svg", "XML", 0, 215, 0, 0, 0, 0, 0, 6, 4, 225
"c:\Users\User\Desktop\work\youwho.club\public\youwho-purple.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\public\youwho-w-outline.svg", "XML", 0, 122, 0, 0, 0, 0, 0, 1, 1, 124
"c:\Users\User\Desktop\work\youwho.club\public\youwho-white.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\App.css", "CSS", 0, 0, 182, 0, 0, 0, 0, 6, 9, 197
"c:\Users\User\Desktop\work\youwho.club\src\App.js", "JavaScript", 280, 0, 0, 0, 0, 0, 0, 10, 37, 327
"c:\Users\User\Desktop\work\youwho.club\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User\Desktop\work\youwho.club\src\assets\CHATNFT-WH.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\CHATNFT-b.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\FEATURESDRK-.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\FEATURESDRK.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\FEATURESWH-.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\FEATURESWH.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\WALLET-WH.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\WALLET-b.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\Wallet.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\Y-HUG-COIN.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\Ycoin.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\bgDots.svg", "XML", 0, 180, 0, 0, 0, 0, 0, 0, 1, 181
"c:\Users\User\Desktop\work\youwho.club\src\assets\blockchainDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\blockchainLight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\blue-nft.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\calenDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\calenLight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\chatNFTDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\chatNFTLight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\complimentPhotos.svg", "XML", 0, 99, 0, 0, 0, 0, 0, 0, 1, 100
"c:\Users\User\Desktop\work\youwho.club\src\assets\cream-nft.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\cryptoDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\cryptoLight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\dayNnight.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\exchangeLogo.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\face-pro.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\work\youwho.club\src\assets\galleryDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\galleryLight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\gassfeeDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\gassfeeLight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\gmailLogo.svg", "XML", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\Chip.svg", "XML", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\coins.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\collectionIcon.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\frame.svg", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\gift-open-outline-white.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\gift-open-outline.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\gift-outline-white.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\gift-outline.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\id.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\media-type.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\money.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\name.svg", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\pin.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\text.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\work\youwho.club\src\assets\icons\upload-file.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\work\youwho.club\src\assets\introGroup.svg", "XML", 0, 174, 0, 0, 0, 0, 0, 0, 1, 175
"c:\Users\User\Desktop\work\youwho.club\src\assets\marketLogo.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\micosoftLogo.svg", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\User\Desktop\work\youwho.club\src\assets\p-outline.svg", "XML", 0, 225, 0, 0, 0, 0, 0, 1, 2, 228
"c:\Users\User\Desktop\work\youwho.club\src\assets\pink-nft.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\purple-nft.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\sokhabi-nft.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\torqua-nft.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\transferDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\transferLight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\twoTokens.svg", "XML", 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\User\Desktop\work\youwho.club\src\assets\walletDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\walletImgDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\walletImgLight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\walletLight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\walletLogo.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\web3Dark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\web3Light.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\xpnsvNFTDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\xpnsvNFTLight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\xtrPageBanner.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\youwho-hugcoin.svg", "XML", 0, 194, 0, 0, 0, 0, 0, 1, 1, 196
"c:\Users\User\Desktop\work\youwho.club\src\assets\youwho-purple.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\youwho-white.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\components\Bar.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 19, 13, 164
"c:\Users\User\Desktop\work\youwho.club\src\components\Footer.js", "JavaScript", 241, 0, 0, 0, 0, 0, 0, 14, 19, 274
"c:\Users\User\Desktop\work\youwho.club\src\components\FooterPrev.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 1, 1, 22
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\Intro.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 4, 5, 97
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\decorSection.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 1, 4, 131
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\features&benefits.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 6, 74
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\gallerySlide.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 5, 105
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\giftSlides.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 12, 5, 69
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\navigateCardTwo.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 2, 5, 79
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\newestSlide.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 6, 107
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\nftSlides.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 1, 8, 64
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\themeSwitchComp.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 2, 41
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\themeToggler.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 4, 4, 38
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\whatsNFT.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 2, 5, 50
"c:\Users\User\Desktop\work\youwho.club\src\components\HomePage\yServices.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 1, 4, 73
"c:\Users\User\Desktop\work\youwho.club\src\components\MobileMenu.js", "JavaScript", 256, 0, 0, 0, 0, 0, 0, 11, 19, 286
"c:\Users\User\Desktop\work\youwho.club\src\components\MobileMenuTwo.js", "JavaScript", 328, 0, 0, 0, 0, 0, 0, 6, 20, 354
"c:\Users\User\Desktop\work\youwho.club\src\components\Navbar.js", "JavaScript", 553, 0, 0, 0, 0, 0, 0, 22, 48, 623
"c:\Users\User\Desktop\work\youwho.club\src\components\PanelLayout.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 21, 7, 108
"c:\Users\User\Desktop\work\youwho.club\src\components\Timer.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\User\Desktop\work\youwho.club\src\components\buttons\buttonBorder.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 3, 3, 37
"c:\Users\User\Desktop\work\youwho.club\src\components\buttons\buttonBorderSmall.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 3, 3, 37
"c:\Users\User\Desktop\work\youwho.club\src\components\buttons\buttonDisabledActive.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 3, 4, 39
"c:\Users\User\Desktop\work\youwho.club\src\components\buttons\buttonOutline.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 7, 4, 42
"c:\Users\User\Desktop\work\youwho.club\src\components\buttons\buttonOutlineInset.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 5, 3, 40
